,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
1852,Cyrano,Drama-Romance,en,Metro-Goldwyn-Mayer-Working Title Films-Bron Studios-Creative Wealth Media Finance,20000000,3000000,124,Released,2021,A man ahead of his time Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But convinced that his appearance renders him unworthy of the love of a devoted friend the luminous Roxanne Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love at first sight with Christian.,1,85,86
2353,Land,Drama,en,Big Beach-Focus Features-Nomadic Pictures-Flashlight Films-Cinetic Media,0,2375190,89,Released,2021,Edee in the aftermath of an unfathomable event finds herself unable to stay connected to the world she once knew and in the face of that uncertainty retreats to the magnificent but unforgiving wilds of the Rockies. After a local hunter brings her back from the brink of death she must find a way to live again.,1,,
1834,American Traitor: The Trial of Axis Sally,History-Drama,en,EFO Films-SSS Entertainment-River Bay Films-Diamond Film Productions,0,2011012,107,Released,2021,The life of American woman Mildred Gillars and her lawyer who struggles to redeem her reputation. Dubbed “Axis Sally” for broadcasting Nazi propaganda to American troops during World War II Mildred’s story exposes the dark underbelly of the Third Reich's hate-filled propaganda machine her eventual capture in Berlin and subsequent trial for treason against the United States after the war.,1,,
2006,CODA,Drama-Music-Romance,en,Vendôme Pictures-Pathé-Picture Perfect Entertainment,10000000,1600000,112,Released,2021,As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.,1,,
2086,Gunpowder Milkshake,Action-Crime-Thriller,en,Canal+-Studio Babelsberg-Ciné+-STX Entertainment-The Picture Company-StudioCanal,30000000,1015760,114,Released,2021,To protect an 8-year-old girl a dangerous assassin reunites with her mother and her lethal associates to take down a ruthless crime syndicate and its army of henchmen.,1,60,48
2345,Four Good Days,Drama,en,Productivity Media-Vertical Entertainment-Indigenous Media-Oakhurst Entertainment,0,843965,100,Released,2021,A mother helps her daughter work through four crucial days of recovery from substance abuse.,1,55,81
2303,Music,Music-Drama,en,HanWay Films-Atlantic Films-Vertical Entertainment-Pineapple Lasagne Productions-Landay Entertainment,16000000,645949,107,Released,2021,Zu a free spirit estranged from her family suddenly finds herself the sole guardian of her half-sister Music a teenager on the autism spectrum whose whole world order has been beautifully crafted by her late grandmother. The film soon challenges whether it is Zu or Music who has a better view of the world and that love trust and being able to be there for each other is everything.,1,7,14
1702,Off the Rails,Comedy,en,Bill Kenwright Films-Black Camel Pictures,0,542675,94,Released,2021,Now in their 50’s three friends recreate an inter-rail journey across Europe but this time 18-year-old Maddie is taking her mother’s place fulfilling her dying wish. With lost passports train strikes and romantic entanglements thrown in their way they must put old feuds aside to complete the journey within five days and remind themselves that they are still at their peak.,1,,
1949,Till Death,Horror-Thriller,en,Millennium Films-Screen Media Films-Campbell Grobman Films-Brave Carrot,0,495268,89,Released,2021,After a romantic evening at their secluded lake house a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter she must fight off hired killers to escape her late spouse's twisted plan.,1,,
1501,Ascendant,Mystery-Science Fiction-Thriller,en,Daydream Films,20000000,318989,101,Released,2021,A young environmentalist wakes trapped kidnapped in the elevator of a super high rise building at the mercy of her tormentors.,1,45,25
1827,Censor,Horror,en,Film4 Productions-Ffilm Cymru Wales-Rook Films-BFI Film Fund-Timpson Films-Silver Salt Films-Cinelab London-Kodak Motion Picture Products,0,314785,84,Released,2021,Film censor Enid takes pride in her meticulous work guarding unsuspecting audiences from the deleterious effects of watching the gore-filled movies she pores over. Her sense of duty to protect is amplified by guilt over her inability to recall details of the long-ago disappearance of her sister. When Enid is assigned to review a disturbing film from the archive that echoes her hazy childhood memories she begins to unravel how this eerie work might be tied to her past.,1,,
2207,A Mouthful of Air,Drama,en,Sony Pictures-Stage 6 Films-Templeheart Films-Maven Screen Media-Studio MAO-Farcaster Films-Winsome Entertainment-Carte Blanche,0,212833,105,Released,2021,Julie is a new mom and children's book author who escapes into the bright Crayola-colored world of her creation in order to leave behind the darkness caused by her post-partum depression.,1,68,81
2363,The Reckoning,Horror-Drama,en,Fourth Culture Films-Moviebar-BondIt Media Capital-Buffalo 8 Productions,0,165216,111,Released,2021,In the aftermath of the Great Plague and amidst the subsequent witch-hunts against women a young widow grapples with the tragic death of her husband in a society completely consumed by fear and death. Because she rejects the advances of her landlord she is falsely accused of being a witch and thrown in jail for a crime she didn’t commit. She must endure physical persecution at the hands of England’s most ruthless witch-hunter and face her own inner demons as the devil himself starts to work his way into her mind.,1,,
1655,The Justice of Bunny King,Drama,en,New Zealand Film Commission-Madman Entertainment-Firefly Films,0,142591,101,Released,2021,Bunny King is a mother of two a rough cut diamond with a sketchy past. While battling the system to reunite with her children a confrontation leads her to take her niece Tonyah under her wing. With the world against her and Tonyah Bunny’s battle has just begun.,1,95,
2242,Tango Shalom,Comedy-Family,en,Convivivencia Forever Films,0,101449,115,Released,2021,When a Tango dancer asks a Rabbi to enter a dance competition there’s one big problem—due to his Orthodox beliefs he’s not allowed to touch her! But the prize money would save his school from bankruptcy so they develop a plan to enter the competition without sacrificing his faith and the bonds of family and community are tested one dazzling dance step at a time in this lighthearted fable.,1,71,90
2183,The Souvenir: Part II,Drama,en,BBC Film-Element Pictures-BFI Film Fund-Protagonist Pictures-Sikelia Productions-JWH Films,0,98929,108,Released,2021,In the aftermath of her tumultuous relationship with a charismatic and manipulative older man Julie begins to untangle her fraught love for him in making her graduation film sorting fact from his elaborately constructed fiction.,1,,
2362,Out of Death,Action-Thriller,en,EFO Films-Dutch Filmworks-Verdi Productions-SSS Entertainment-River Bay Films-Vertical Entertainment-Youplanet Pictures-BondIt Media Capital-Buffalo 8 Productions-Falcon Films,0,95813,95,Released,2021,As Shannon a woman who wants to put her father's ashes away in the woods witnesses a corrupt cop dealing drugs with a junkie she has to try and run away after she gets rampaged by two discreditable cops after they see her taking secret photographs of their crime maneuver. They then do a cat-and-mouse game around the woods as Shannon teams up with a retired sheriff along the way for more reinforcement. It's just a diversion of survival and egalitarianism.,1,0,43
2185,Hellbender,Horror,en,Yellow Veil Pictures-Wonder Wheel Productions,0,67474,83,Released,2021,A teen and her mother live simply in a home in the woods spending their time making metal music. A chance encounter with a fellow teen causes her to uncover a connection between her family and witchcraft which causes a rift with her mother.,1,97,53
2092,Witch Hunt,Thriller-Horror-Fantasy-Drama,en,Kodiak Pictures-Defiant Studios,0,56415,92,Released,2021,In a modern America where witches are real and witchcraft is illegal a sheltered teenager must face her own demons and prejudices as she helps two young witches avoid law enforcement and cross the southern border to asylum in Mexico.,1,,
2367,Shiva Baby,Comedy-Drama,en,Thick Media-Irving Harvey-Neon Heart Productions-Bad Mensch Productions-Dimbo Pictures-It Doesn't Suck Productions,250000,31014,78,Released,2021,College student Danielle must cover her tracks when she unexpectedly runs into her sugar daddy at a shiva - with her parents ex-girlfriend and family friends also in attendance.,1,96,77
1856,The Novice,Drama-Thriller,en,H2L Media Group-Picture Movers Anonymous,0,24322,94,Released,2021,A college freshman joins her university's rowing team and undertakes an obsessive physical and psychological journey to make it to the top varsity boat no matter the cost.,1,,43
1847,The Lost Daughter,Drama,en,Faliro House Productions-Pie Films-Endeavor Content-Media Finance Capital-Samuel Marshall Productions,0,14521,122,Released,2021,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,1,94,52
2576,Baking Up Love,Comedy-Romance,en,Gemelli Films-Heartly Creations,0,8770,95,Released,2021,CEO of the Morton Pumpkin Company decides to commemorate the 200th anniversary of the cutest town ever founded with a bake-off. The town sweetheart is expected to win. When her niece is left to stay winning seems out of reach.,1,,
2212,Lena and Snowball,Family-Adventure-Comedy,en,Almost Never Films-Fitz Family Films,0,8756,90,Released,2021,Lena a troubled youth takes a white lion cub under her wing; little does she know the lion escaped from criminals intended to take the cub to an evil trophy hunter named Ben Percy.,1,,
2281,Where Is Anne Frank,Animation-Drama-Family-History,en,Samsa Film-Wild Bunch-Prima Linéa Productions-Entre Chien et Loup-Le Pacte-Walking The Dog-Bridgit Folman Film Gang-Submarine,22000000,0,99,Released,2021,The film follows the journey of Kitty the imaginary friend to whom Anne Frank dedicated her diary. A fiery teenager Kitty wakes up in the near future in Anne Frank's house in Amsterdam and embarks on a journey to find Anne who she believes is still alive in today's Europe. While the young girl is shocked by the modern world she also comes across Anne's legacy.,1,80,55
2225,Kidnapped,Thriller-Drama,en,Lifetime-Screen Australia,20000000,0,85,Released,2021,Savannah Duke-Morgan realizes her lifetime dream to bring her husband Brad and her five-year-old daughter Aria back to her birthplace on the Gold Coast of Australia until it turns into her worst nightmare when Aria goes missing from the resort’s Kidz Klub.,1,,
2719,Moon Rock for Monday,Drama,en,Lunar Pictures-WaZabi Films-Nostos Media-Zig Zag Post,20000000,0,100,Released,2021,Set in Sydney 1999 after an unlikely encounter at a train station a young girl befriends a fugitive teenage boy and they travel to visit a moon rock that the girl believes will heal her.,1,83,
2270,The Lady of Heaven,Action-History-Drama,en,Enlightened Kingdom,15000000,0,141,Released,2021,Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country an Iraqi child learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.,1,17,75
1849,Ida Red,Crime-Thriller-Drama-Action,en,BondIt-Highland Film Group-Saban Films-Roxwell Films,12400000,0,111,Released,2021,Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son Wyatt for one last job and a chance to regain her freedom.,1,33,28
2361,Bruised,Drama,en,Thunder Road-Head Gear Films-Aloe Entertainment-Metrol Technology-Rhea Films-Entertainment 360-Romulus Entertainment-Bohemia Media-Hercules Film Fund,11000000,0,129,Released,2021,Jackie Justice is a mixed martial arts fighter who leaves the sport in disgrace. Down on her luck and simmering with rage and regret years after the fight she's coaxed into a brutal underground fight by her manager and boyfriend Desi and grabs the attention of a fight league promoter who promises Jackie a life back in the Octagon. But the road to redemption becomes unexpectedly personal when Manny - the son she gave up as an infant - shows up at her doorstep. A triumphant story of a fighter who reclaims her power in and out of the ring when everyone has counted her out,1,49,56
1940,Queenpins,Comedy-Crime,en,Red Hour-AGC Studios-Marquee Entertainment,7000000,0,110,Released,2021,Bored and frustrated suburban homemaker Connie and her best pal JoJo a vlogger with dreams turn a hobby into a multi-million-dollar counterfeit coupon caper. After firing off a letter to the conglomerate behind a box of cereal gone stale and receiving an apology along with dozens of freebies the duo hatch an illegal coupon club scheme that scams millions from mega-corporations and delivers deals to legions of fellow coupon clippers. On the trail to total coupon dominance a hapless Loss Prevention Officer from the local supermarket chain joins forces with a determined U.S. Postal Inspector in hot pursuit of these newly minted “Queenpins” of pink collar crime.,1,47,82
1939,The Woman in the Window,Drama-Crime-Mystery-Thriller,en,Scott Rudin Productions-Fox 2000 Pictures-TSG Entertainment-20th Century Studios,4000000,0,102,Released,2021,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,1,,
2658,Cupids on Beacon Street,Comedy-Romance-TV Movie,en,Incendo Media-Incendo Productions,3000000,0,90,Released,2021,Romance book editor Eve agrees to housesit for her bestselling novelists sharing the home with Jake a self-help coach who needs the space to host romantically themed workshops for Valentine's Day.,1,,
2578,Save Sandra,Drama,en,Eyeworks-Eyeworks Film-Kinepolis-Kaap Holland Film-Kinepolis Film Productions-Independent films,2933294,0,100,Released,2021,Sandra is a sick kid her parents are looking for the expensive medicine.,1,,
2097,Run Hide Fight,Action-Crime-Thriller,en,Cinestate-Rebeller-Bonfire Legend,2000000,0,109,Released,2021,A 17-year-old girl uses her wits survival skills and compassion to fight for her life and those of her fellow classmates against a group of live-streaming school shooters.,1,38,93
2512,The Inheritance,Horror-Mystery-Thriller,en,Apollo Pictures-Firepower Entertainment-Radioaktive Film,500000,0,87,Released,2021,A woman's inheritance leads her to Eastern Europe to uncover a dark and disturbing family secret.,1,91,
2794,One and the Same,Science Fiction,en,Shadow Clone Films-Leisure Films,350000,0,110,Released,2021,When a young woman Lola is invited to a secret facility she discovers an experiment beyond space and time. After uncovering her own past life as a teenage boy named Robbie she embarks on a malevolent path for justice against the ex-con who killed him.,1,,
1794,3 Tickets to Paradise,Action-Western,en,Comstock Movie Studios-Isaac Aaron Media-Eon Sounds Productions,330000,0,87,Released,2021,AJ Parker her ex-husband and a federal agent head for a ghost town in Mexico called Paradise in search for a hidden cache of 5000 stolen double eagle $20 gold coins.,1,,
1992,Amina,War-History-Drama,en,Videosonic Studios-BlackScreen Entertainment,250000,0,120,Released,2021,In 16th-century Zazzau now Zaria Nigeria Amina must utilize her military skills and tactics to defend her family's kingdom. Based on a true story.,1,,
2686,Trapped Daughter,Thriller-TV Movie,en,MarVista Entertainment,250000,0,90,Released,2021,A desperate woman must save her kidnapped teenage daughter from a twisted young man who plans to sell her organs on the black market.,1,,
1681,Samantha Rose,Drama,en,Untold,200000,0,94,Released,2021,Samantha Rose is a coming of age story shot on location in the Pacific Northwest. Centering non-binary actor Sam Rose the film is a tale of a young woman battling family codependence and aimlessness alike. Sam returns to her hometown in northern Oregon and is reunited with a childhood friend and his misfit commune of friends where they work the fall harvest on the surrounding vineyards. This ragtag family of runaways are fearless and free leading Sam on a journey of discovery and healing. There are motorcycle rides and homemade wine midnight swims and bonfires horses camping and a love story that unfolds as Sam comes to see her life for what it really is: her own.,1,,
2670,Companion,Horror,en,Left Eye Dominant,150000,0,106,Released,2021,In 2030 society fell as malicious entities appeared around the world. The survivors must fight each other and the dead. Across this brutal landscape Ella Grace's burden of guilt is exposed. The past and the horrors of what she will become force Ella to kill what she loves in order to discover the terrifying meaning of the ghosts that feed on her fear.,1,,
2809,Help,Drama-Mystery-Thriller,en,Ridder Films,55200,0,96,Released,2021,A painful break up prompts Grace to visit her friend Liv who is living in the idyllic English countryside with her boyfriend Edward and his dog Polly. The trio start the weekend in high spirits but it soon turns into chaos as well-kept secrets are exposed and the friends come to see each other in a whole new light.,1,,40
2843,Grave Intentions,Horror,en,Terror Films-Death Cat Entertainment,25000,0,88,Released,2021,In this anthology of chills thrills and kills a practitioner of the magical arts teaches the basics of her craft. The most important lesson? You must be mindful of your intention. Five of her customers are about to learn this the hard way: A woman looking to change her luck gets ensnared in a dangerous game; In the quest for justice a man is transformed into a monster; In an attempt to right a wrong a woman rescues a stray cat; A father and son are torn apart when a joke goes too far; A young girl needs protection from the demons in her life.,1,67,
2506,I'm Sorry If I Took a Toll on You,Thriller,en,Factory Film Studio-367 Pictures,20000,0,85,Released,2021,After her parents death newly orphaned Cath travels up north to her recently inherited lake house where she meets Ryan a likeable man happy to fill the void her parents left.,1,,
1815,Daddy's Girl,Drama-Thriller,en,Blinky Productions,15000,0,90,Released,2021,A twisted suspense thriller about a manipulative teenage girl who convinces her widower/alcoholic/over protective father that the boy she asked out on a date beat and raped her when in fact he turned down her advances. But no amount of facts can persuade this enraged father. No one hurts Daddy's Girl.,1,,
2434,Time Sleeper,Science Fiction-Drama,en,Taiwo Pictures Inc.,15000,0,93,Released,2021,Sarah upon accidentally discovering time travel through the use of a drug must now travel back one year into the past to save her son from a fatal accident.,1,,
2729,Slashlorette Party,Horror,en,A&P Films,8000,0,79,Released,2021,An anxious young woman is taken by her friends to a remote cabin in the woods to celebrate her bachelorette party. The fun and games are cut short when an uninvited guest begins killing off the wedding party one by one.,1,,
1741,The Parker Sessions,Horror,en,New Western Film Company,7007,0,72,Released,2021,A troubled young woman with a disturbing past goes to see a counselor about her night terrors ones involving a shadowy figure that attempts every night to break into her home.,1,,
2535,Feel So Good,Thriller-Comedy,en,BAD FAITH LLC,7000,0,94,Released,2021,A desperate hypnotist uses a young woman to unknowingly perform crimes leaving her with strained relationships and fragmented memories.,1,,
2763,Ape Canyon,Drama-Comedy,en,MindInMotion-Cyfuno Ventures,90,0,73,Released,2021,Cal Piker hasn’t seen his sister Samantha since their mother’s funeral so when he interrupts her English lecture one morning with a proposal - a week out in the woods of Oregon looking for Bigfoot in the legendary 'Ape Canyon' - she is more than a little surprised. But it’s a dangerous thing to be led around by Cal an irresponsible frustratingly likable kid brother enthusiastic to the point of irrationality to find Bigfoot for himself. For Cal this is not a matter of legend. This is not just some adventure. If Samantha doesn’t stop him Cal will either find Bigfoot or die trying.,1,,
1490,The Good Father: The Martin MacNeill Story,Drama-TV Movie,en,Lifetime-Julijette,0,0,84,Released,2021,Weeks after his wife's suspicious death Dr Martin MacNeill moves in his mistress under the guise of a live-in nanny. Shocked by her father's actions his daughter begins to question everything she's known about him while uncovering a web of lies.,1,,
1493,A Honeymoon to Remember,TV Movie-Comedy-Romance,en,Reel One Entertainment-CMW Spring Productions,0,0,85,Released,2021,When a devastated Ava’s fiancé leaves her at the altar she’s determined to enjoy her honeymoon without him. Time away in a beautiful setting helps her figure out what she truly wants from a partner but when her fiancé shows up unannounced she’s more confused than ever… Can Ava forgive the man who broke her heart?,1,,
1494,WWE WrestleMania 37: Night 2,Action-Drama,en,World Wrestling Entertainment (WWE),0,0,210,Released,2021,"The 37th annual Showcase of the Immortals is back in business at Raymond James Stadium in Tampa Florida as night two will feature Asuka defending her Raw Women's Championship against Rhea Ripley ""The Fiend"" Bray Wyatt returning to in-ring action against Randy Orton Intercontinental Champion Big E takes on Apollo Crews for his title and ""The Head of the Table"" Roman Reigns defends his Universal Championship against Daniel Bryan & Edge in a Triple Threat Match.",1,,
1495,Rushed,Mystery-Thriller-Horror-Drama,en,Vertical Entertainment,0,0,101,Released,2021,Barbara O’Brien an Irish Catholic mother has her life turned upside-down when her son a freshman in college is involved in a tragic hazing incident. Taking justice into her own hands she travels across the country recording mothers who have lost sons to hazing in an effort to prove the university’s liability. When she is confronted by corruption and cover ups she seeks revenge on the one person she finds truly responsible proving that hell hath no fury like a mother scorned.,1,90,89
1497,WWE WrestleMania Backlash,Action-Drama,en,World Wrestling Entertainment (WWE),0,0,210,Released,2021,"The fallout from WrestleMania 37 is not quite done yet as Cesaro looks to obtain his first WWE world title as he challenges ""The Head of the Table"" Roman Reigns for the Universal Championship also WWE Champion Bobby Lashley defends his title against Drew McIntyre & Braun Strowman Rhea Ripley faces off against Asuka & Charlotte Flair for the Raw Women's Championship and SmackDown Women's Champion Bianca Belair looks to retain her championship against Bayley.",1,,
1498,Joy for Christmas,TV Movie-Comedy-Romance,en,Motion Picture Corporation of America-Brad Krevoy Television-All Canadian Entertainment,0,0,84,Released,2021,When her family firm’s annual Christmas toy drive is in jeopardy Holly Silver must convince pro athlete Jack Kane to be the public face of the campaign to help save it. As Noelle helps Jack rediscover the meaning of Christmas Holly reconnects with her own family traditions. While Jack and Holly go through challenges of making Christmas dreams for others come true they discover kindred spirits in each other and the potential for the gift of romance this holiday season.,1,,
1500,Christmas at Castle Hart,TV Movie-Comedy-Romance,en,Merlin Films-Leif Films Media,0,0,84,Released,2021,Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there she meets Aiden Hart Earl of Glaslough. Mistaken for an elite event planner she’s hired to host his castle’s epic Christmas party.,1,,
1503,Right in Front of Me,TV Movie-Comedy-Romance,en,Muse Entertainment,0,0,84,Released,2021,Carly gets a second chance at romance with her college crush but isn’t sure how to impress him until her new friend Nick starts giving her advice. Soon she learns who the right man for her really is.,1,,
1513,The Wrong Real Estate Agent,Drama-Thriller-TV Movie,en,Hybrid-Lifetime,0,0,85,Released,2021,Julie (Vivica A. Fox) and her teenage daughter Maddie rent a beautiful house on several acres of land from Charles a real estate agent they know well and who lives nearby. However after they move in strange noises and occurrences lead them to suspect someone else may be living on their property. Andres Londono Dorian Gregory Alaya Lee Walton Tom Sandoval and Gina Hiraizumi also star.,1,,
