,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
6631,The Curse of La Llorona,Horror-Thriller,en,New Line Cinema-Atomic Monster,9000000,122033739,93,Released,2019,A social worker dealing with the disappearance of two children fears for her own family after beginning the investigation.,1,28,35
6487,Happy Death Day 2U,Comedy-Horror-Science Fiction,en,Blumhouse Productions-Digital Riot Media,9000000,25327500,100,Released,2019,Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle Tree soon realizes that she must die over and over again to save everyone.,1,71,60
6656,Five Feet Apart,Romance-Drama,en,CBS Films-Wayfarer Entertainment,7000000,92600000,116,Released,2019,Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines boundaries and self-control — all of which get put to the test when she meets Will an impossibly charming teen who has the same illness. There's an instant flirtation though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies so does the temptation to throw the rules out the window and embrace that attraction.,1,53,79
6525,Abigail,Adventure-Fantasy-Mystery,en,Kinodanz,7000000,1940234,110,Released,2019,A young girl Abigail lives in a city whose borders were closed many years ago because of an epidemic of a mysterious disease. Abby's father was one of the sick - and he was taken when she was six years old. Going against the authorities to find his father Abby learns that her city is actually full of magic. And she discovers in herself extraordinary magical abilities.,1,,34
6766,Daughter of the Wolf,Action-Thriller,en,Minds Eye Entertainment-VMI Worldwide-The Fyzz-Falconer Pictures-Invico Capital-Petra Pictures,7000000,0,88,Released,2019,Ex-military specialist Clair Hamilton returns home from her tour in the Middle East due to her father's passing and to claim her inheritance. Her son is then kidnapped and held for ransom by a gang led by a mysterious figure known only as “Father”.,1,22,41
6581,Countdown,Horror-Thriller,en,Universal Pictures-STX Entertainment-Wrigley Pictures,6500000,48021766,90,Released,2019,A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her she must find a way to save her life before time runs out.,1,26,72
6420,Ready or Not,Comedy-Horror-Thriller,en,Fox Searchlight Pictures-Vinson Films-Mythology Entertainment-Radio Silence,6000000,57615777,95,Released,2019,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,1,88,78
7049,The Prodigy,Horror-Thriller,en,Metro-Goldwyn-Mayer-Orion Pictures-XYZ Films-Vinson Films,6000000,21150265,92,Released,2019,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,1,42,37
6830,K-12,Music-Horror-Fantasy,en,Atlantic Records-Frame 48-Abramorama-Little Ugly,6000000,359377,92,Released,2019,Cry Baby a strong and sensitive girl is sent off to a disturbing sleepaway school that’s hidden underneath a grandiose façade. Luckily she has a sweet and unapologetic best friend who sticks up for her when she gets bullied by the other students whose brains are under control by the Principal and his wicked staff. With the help of the magical friends they meet along the way as well as an Angelic Spirit Guide they are able to gain the strength they need to fight off the school’s belligerent patriarchal conditioning.,1,,
6950,Ma,Horror-Thriller,en,Universal Pictures-Blumhouse Productions-Wyolah Films,5000000,51749995,99,Released,2019,Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day she is asked by Maggie a new teenager in town to buy some booze for her and her friends and Sue Ann sees the chance to make some unsuspecting if younger friends of her own.,1,92,55
6808,Late Night,Comedy-Drama,en,Scott Rudin Productions-FilmNation Entertainment-Imperative Entertainment-30WEST,4000000,22384741,102,Released,2019,A legendary late-night talk show host's world is turned upside down when she hires her only female staff writer. Originally intended to smooth over diversity concerns her decision has unexpectedly hilarious consequences as the two women separated by culture and generation are united by their love of a biting punchline.,1,79,77
6347,Vivarium,Science Fiction-Thriller-Mystery,en,XYZ Films-PingPongFilm-Fantastic Films-Frakas Productions-Saban Films-Lovely Productions,3947600,427399,97,Released,2019,A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.,1,73,39
7518,A Dangerous Date,Thriller-TV Movie,en,Dawn's Light,2500000,0,82,Released,2018,Julie introduces her single father Peter to the world of online dating. When Peter meets Alexis it's love at first sight. But as Julie and Alexis get to know each other she begins to learn that Alexis might not be what she seems.,1,,
7716,The Confederate,Action-Western-History,en,Forbesfilm,1300000,0,105,Released,2018,Georgia 1864. Desperate to escape an arranged marriage to her brutal neighbor Willa Randall disguises herself as a boy and joins the confederate Cavalry.,1,,
6608,3 Lives,Thriller,en,J-Blockbuster-Aquaset Filmworks,1214849,0,81,Released,2019,A woman on the run from ruthless kidnappers discovers her savior is the man jailed for attacking her 15 years earlier.,1,,
7366,Girl Lost,Drama,en,Leslin Films,1000000,0,95,Released,2018,Girl Lost tackles the issue of underage prostitution as told through the eyes of a wayward teen. Groomed by her own mother to work in the underbelly of Los Angeles the young girl struggles to survive in this dark world.,1,,40
7491,GONE: My Daughter,Drama-Thriller-TV Movie,en,Buffalo Gal Pictures-3Brane Entertainment,1000000,0,90,Released,2018,At 16 Ashley was forced to give up her daughter. 18 years later on the eve of their meeting for the first time the girl disappears without a trace. The only person helping Ashley is Jake her old boyfriend. Their relationship is tested when Jake discovers that he's also the girl's father.,1,,
7532,#Roxy,Comedy-Romance,en,Super Channel-Studio Hamburg Enterprises-Mosaic Entertainment-Upstream Flix-Spesch-Darkstar Pictures,1000000,0,100,Released,2018,Cyrus Nollen Bergerac High's resident big-nosed hacker uses social media to help a handsome star athlete win the heart of his best friend Roxy despite the fact that he is deeply in love with her himself.,1,,
7550,Alien Psychosis,Horror,en,Reality Entertainment-Millspictures Studios,1000000,0,74,Released,2018,Ryan O'Neil a War Veteran suffering from PTSD after being wounded in combat returns home to his pregnant wife Stephanie. Her brother Tony a corrupt cop has been helping her out while her husband has been serving the country. Ryan and Tony have never been fond of each other and things get heated as Tony attempts to meddle with their marriage. But when Ryan starts to have flashes and visions of killers extraterrestrials and other strange beings in his house at night he's not sure whether it is real or if it is just in his mind. Stephanie already on edge with Ryan is deeply concerned about her husband's behavior. As the days go by Ryan will soon find out what sinister presence has been haunting him in his nightmares. (IMDB),1,,
6463,Rust Creek,Thriller-Drama-Action-Crime,en,IFC Midnight-Lunacy Productions,750000,0,108,Released,2019,When an overachieving college senior makes a wrong turn her road trip becomes a life-changing fight for survival in rural Kentucky.,1,86,62
7391,8 Remains,Thriller-Mystery,en,Aquaset Filmworks-J-Blockbuster,640451,0,80,Released,2018,Preceding her death a young woman relives her life in a mirror world giving her the chance to fight her killer.,1,,88
7751,My Side Piece Hit the Lotto,Drama-Comedy,en,Scotlawood Motion Pictures,500000,0,106,Released,2018,Lotto winner Mrs. Weatherspoon (Momma Dee) shares her winnings with her unfaithful husband Charles (Pokey Bear) while next door neighbors DeShawn (Messie Cee) and Ebony (Baddazz Cutie) scramble to repay borrowed bail money back to the neighborhood bully Buster as Dillard (Mando Allen) and Charles enters into a shady business deal.,1,,
7658,Jean,Adventure-Drama,en,Giant Meteor Films-Welling Films,485000,0,71,Released,2018,"Albert is a seasoned renegade with a heart of gold. With his memory beginning to fail and his wife wheelchair bound his young granddaughter Jean has her hands more than full taking care of the couple. When Albert journeys into the desert Jean must learn and grow over the course of her epic quest into the wilderness with her faithful canine. ""Agnosia"" is a miraculous adventure into the strength of the human spirit and the power of love courage and faith.",1,,
7819,Dreams Washed Out,Romance-Drama-Mystery,en,Filmex Ita s.r.l.,350000,0,118,Released,2018,￼Henry Aimée Mei-Li are in Catania Sicily. Henry a painter lost is creativity and traveled the world. At 50 years he is not at ease in Sicily. Aimée comes from the UK. Henry hopes to find his lost creativity and love but she has different expectations. Mei-Li 25 years old from Shenyang China ends up in Sicily following an erratic path. Exotic attractive and daring she becomes temptation for many. Henry saves her from a rape attempt: they begin to get close. Henry seeks a drastic life change but feels trapped unable to decide. He wants to resume travelling he wants to paint love and a new life. He acts to fulfill his personal needs unable to discern and share other people's necessities. All the characters in this story slide through time. Present past and future all melt with memories and personal desires: chasing uncertain dreams they go on until they will separately leave Catania destination unknown following their incompatible dreams.,1,,
6262,#FollowMe,Horror-Thriller,en,Samurai Films-Bazooka Bunny,300000,0,90,Released,2019,Three British women from London consisting of a YouTuber and her two friends go missing from a motel in California while travelling from Los Angeles to San Francisco after posting on social media using the the hashtag #followme.,1,,
7254,Diminuendo,Romance-Science Fiction,en,Flamboyance Films-Rebel 11-Faithless Films-LifeForm Productions,300000,0,106,Released,2018,A director whose life crumbled when Cello his Hollywood starlet girlfriend killed herself becomes obsessed with a robot designed to replicate her after he's offered the chance to direct the film of Cello's life.,1,,
7613,No Blood of Mine,Mystery,en,No Blood of Mine,300000,0,112,Released,2018,A murder mystery movie set in Duluth Minnesota that follows the journey of a woman navigating her past and a Native American police detective searching for a killer.,1,,
7715,Nothing Like the Sun,Drama-History,en,HorseHead Pictures,300000,0,98,Released,2018,In the mid-twentieth century Alice Mitchell works as a prostitute on the street. After her situation worsens she unsuccessfully attempts to reconcile with her estranged family over her homosexuality. She takes shelter at a Christian household and wins them over by falsely adopting their faith despite opposition from their in-law Lillian. While there Alice's infatuation with the family's daughter Annabel grows. After Lillian reveals Alice's homosexuality Alice redoubles her efforts to rid herself of it to no avail as she succumbs to a relationship with Annabel. Their relationship is discovered. In desperation Alice commits to faith instead and starts a relationship with a man reconciling her with her parents. But she falters when confronted by Annabel again struggling to decide between leaving with her and remaining with her own family. Through a final confrontation with Lillian Alice makes her final choice.,1,,
7029,The Farewell,Comedy-Drama,en,Big Beach-Depth of Field-Kindred Spirit-Seesaw Productions,250300,22110994,100,Released,2019,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,1,97,87
7177,Babes with Blades,Fantasy-Action-Adventure-Drama,en,Fearful Symmetry Productions-Sleepercell Productions-Madge Consultancy-Breaking Glass Pictures,250000,0,95,Released,2018,On the dark streets of Draiga a mining colony occupied by the Visray Empire lives Azura the last of a fearsome warrior race known as the Sarnians. After witnessing her once beautiful home world turn into a lifeless husk Azura must fight to the death in the gladiatorial ring to stay alive. Meanwhile a group of human freedom fighters form a resistance seeking to try and protect their families from the oppressive and cruel rule of the Visray Section Commander Sorrentine. Unbeknownst to Azura the fate of all humans on Draiga is about to rest in her hands. Can she survive long enough to save her colony?,1,,
7773,Moma's Spirit,Horror,en,Maverick Entertainment Group,215000,0,70,Released,2018,Ms. Brenda tries to keep Angel away from her talented son Cedric so he can have a future and decides to pay her to stay away. But all the while she still sneaks around to see Cedric. When Ms. Brenda dies of pneumonia her spirit comes back later to haunt them after finding out they are together!,1,,
7523,Shutter,Horror-Thriller,en,Invader Films,200000,0,105,Released,2018,A supernatural stalker pursues a super model to steal her soul with his demonic camera.,1,63,77
7945,Poor Jane,Drama-Comedy,en,Fake Wood Wallpaper,200000,0,90,Released,2018,A housewife's comfortable life unravels when she suddenly stops loving her husband.,1,,
7794,Huckleberry,Drama-Thriller,en,Rustbelt Productions,178000,0,80,Released,2018,Huckleberry pursues Jolene in spite of her loathsome boyfriend Clint. Rebuffed Huckleberry confronts Clint but not before unleashing hell upon him while still cloaked in the lingering shadow of his undiscovered intentions.,1,,89
7592,The Redeeming,Drama-Mystery-Thriller,en,Osmium Films,150000,0,85,Released,2018,A disturbed single mother confronts a mysterious stranger and the echoes of her past to protect her home.,1,,
6770,WWE Money in the Bank 2019,Action-Drama-Family-Thriller,en,World Wrestling Entertainment (WWE)-WWE Home Video-World Wrestling Entertainment (WWE),140777,5556675,218,Released,2019,Money in the Bank (2019) was a professional wrestling pay-per-view (PPV) and WWE Network event produced by WWE for their Raw SmackDown and 205 Live brands. It took place on May 19 2019 at the XL Center in Hartford Connecticut. It was the tenth event under the Money in the Bank chronology.  Twelve matches were contested at the event including one on the pre-show. In the main event Brock Lesnar inserted himself in the men's Money in the Bank ladder match to win it. Bayley won the women's Money in the Bank match and later cashed in the contract to win the SmackDown Women's Championship from Charlotte Flair who herself had just won the title from Becky Lynch. In her other match Lynch retained her Raw Women's Championship against Lacey Evans. In other prominent matches Kofi Kingston defeated Kevin Owens to retain the WWE Championship while Seth Rollins defeated AJ Styles to retain the Universal Championship.,1,,
7776,The Invisible Mother,Comedy-Horror-Science Fiction,en,Anvil Entertainment,100000,0,106,Released,2018,When lesbian toker Marcy returns to her grandparents' home to help care for her mentally declining grandmother she discovers they are being terrorized by a malevolent force from a Victorian postmortem photograph.,1,,
6721,Sunday Girl,Comedy,en,Crestmont Pictures,80000,0,78,Released,2019,Natasha sets out to break up with four of her five boyfriends in a single day. There’s Victor the melodramatic poet. Jack the angry laborer. Tom the friend with benefits. Winston the nice guy.  As Natasha’s story progresses we begin to experience her world and its inhabitants while finding out exactly what it is she wants. Ultimately it is a story detailing the frustrations of being young and in search of love.,1,77,33
6265,Book of Monsters,Comedy-Horror-Action,en,Dark Rift Films,76000,0,84,Released,2019,Sophie's 18th birthday becomes a bloodbath when monsters descend upon her house devouring the guests and killing anyone who tries to leave. To survive the night Sophie must face her destiny: monsters are real and she's the only one who can stop them.,1,75,42
6934,36 Husbands,Comedy,en,Bright Blue Gorilla-Under the Milky Way,72000,0,83,Released,2019,36 Husbands is a mystical musical Kung Fu spy comedy starring 3 powerful women - and a bunch of husbands. Krista top spy and Kung Fu master has extraordinary powers and she puts them in action on her quest to slow down the steady march towards World War III. Together with her Kung Fu disciples Gina and Nola (and Frankie a spy on-loan from MI6) they fight and love their way across the world leaving a trail of broken hearts and sabotaged plans. All the spies and evil-doers are tuning into the Bright Blue Gorilla TV show. Why do they watch? Is it the music is it the comedy? Maybe you can figure it out.,1,,
7780,In Her Blood,Thriller,en,Bruce Ricker Films,50000,0,122,Released,2018,Thirteen-year-old Hadley and her little sister find themselves hungry and homeless. Hadley reaches out to their estranged family only to discover they were safer on the streets.,1,,
6356,Necropolis: Legion,Horror,en,Full Moon Features,49000,0,61,Released,2019,The tale of satanic vampire sorceress Eva whose sexually-charged midnight rituals are interrupted when God-fearing local villagers burst into her lair and murder her. A century later motorcycle-riding writer Lisa moves into the same cabin where Eva was executed with the intent to write a book about the supposedly haunted spot's history. Soon Lisa is having vivid perverse dreams and slowly surely Eva begins taking over the young woman using her body as a vessel to commit even more atrocities in the name of resurrecting an ancient monster from the underworld.,1,,
6488,Trailer Park Princess,Drama,en,Little Red Wagon Films,40000,0,109,Released,2019,Trailer Park Princess is the story of Claire a young woman thrust too early into adulthood and her 12-year old sister Audrey. Both of them struggle to survive the hardships of life growing up in poverty with only each other to depend on.,1,,
7274,Blink,Drama,en,Green Eyed Theater,40000,0,98,Released,2018,The calmest seas are the most turbulent underneath. So is the case in Blink a story of domestic abuse and human brokeness. Nailah Belle is the epitome of beauty and strength. She is known to be committed to her classroom community and marriage. Her husband Chris appears to be the perfect accessory to accompany what reveals to be her perfect lifestyle however; all is not what it seems to be as this riveting story unfolds; in just one Blink.,1,64,45
7155,Brute Sanity,Thriller-Science Fiction,en,Imaginary Danger Productions,30000,0,82,Released,2018,An FBI-trained neuropsychologist teams up with a thief to find a reality-altering device while her insane ex-boss unleashes bizarre traps to stop her.,1,,
7783,First Lady,Drama,en,Dennis L. Reed II Productions,30000,0,96,Released,2018,When Maria unknowingly falls for the man that killed the love of her life all hell breaks loose.,1,,33
7372,Aliko and Ambai,Drama-Family,en,Centre for Social and Creative Media,29250,0,102,Released,2018,Aliko & Ambai is a feature film about two young women facing the challenges of growing up in the beautiful Eastern Highlands of Papua New Guinea. The challenges are significant: tribal conflict poverty bullying domestic violenceand forced marriage. Aliko struggles to complete her education and Ambai searches to escape her abusive home and reunite with her biological father. They navigate the many obstacles in their lives and endeavour to build brighter futures for themselves supported by the strength of friendship.,1,,
7624,Webcast,Thriller-Horror,en,Launch Pad Films,26000,0,95,Released,2018,Stranded in the suburbs student filmmaker Chloe begins to make a documentary about her family's troubled past. Whilst filming she and best friend Ed witness an hysterical girl appearing to escape from a neighbour's house only to be quickly dragged back inside again. Is she a recovering drug addict like the neighbours say? Or is she really in danger from those who claim to be caring for her? Chloe and Ed begin to run surveillance but as they dig deeper they find themselves caught up in a world of strange beliefs old religions and dark witchcraft. Their search for the truth will climax in a live webcast that will terrify and make those watching question the very authenticity of what they are seeing. Webcast is inspired by a wealth of films from both the horror and thriller genres including Rear Window The Wicker Man The Blair Witch Project Rosemary's Baby Paranormal Activity and Race with the Devil.,1,,
7455,A Wish for Giants,Adventure-Drama-Fantasy-Science Fiction,en,Spruce Films,25000,0,79,Released,2018,Sophie a young volunteer meets her kindred spirit in Roxie a girl with a life threatening medical condition and a unique wish to meet Bigfoot.,1,,100
7408,Trench,Comedy-Thriller,en,Cinema Viscera,21000,0,90,Released,2018,Struggling stand-up Sam Slade and reclusive writer Becky Holt are thrown together when Becky experiences strange phenomena in her own home and Sam desperately broke poses as a private eye - but will Sam's first case be the death of her?,1,,41
7344,The Lower Plateau,Comedy,en,Depanneur Films,19000,0,92,Released,2018,A formerly successful Montreal musician trudges through the darkest days of winter armed with a backpack full of weed and a repertoire of Alanis Morissette covers. Dogged by her ex-band mate’s new hit song Jaine mourns the loss of her career her band and her self respect. In the heart of the city’s independent music scene the snow covered Plateau Jaine encounters both allies and obstacles including her best friend-slash-roommate Mari her married ex-lover-slash- manager David and her charming new customer-slash-potential love interest Darren. When a glittering opportunity in the Emerald City of Toronto threatens to lure her into a shiny new life Jaine struggles to sever old ties.  Her ex wants her to move on her mom wants her to move to Toronto her best friend wants things to stay the same forever and her clients just want weed but Jaine has other plans.,1,,
7329,The Curse of Lilith Ratchet,Horror,en,Fright Teck Pictures,15000,0,105,Released,2018,"Alice and her best friend Lauren inadvertently set a hellish curse in motion after surprisingly acquiring a mysterious shrunken head. Wanting to know more about their fiendish find they pay a visit to a popular paranormal podcast host Hunter Perry of ""Beyond the Veil"". Hunter discovers it's true authenticity of the ages-old object and in hopes of creating a rating boost he plans a LIVE podcast in which the tale of the shrunken head will be introduced to the masses. Little do they know by playing the game and calling her name they will release the malevolent demonic spirit of Lilith Ratchet.",1,,
